ref_code,piece_type,piece_name,piece_brand,vehicle_make,vehicle_model,detail_ht
CAR-002426,Glace,GLASSE RET GOLF6 /TOURAN 10-14 G,CARMAN,Volkswagen,Golf 6 / Touran,2400.0
5KO,Glace,GLASSE RET GOLF6 /TOURAN 10-14 G +D,,Volkswagen,Golf 6 / Touran,2200.0
VM-6197-AGHL,Glace,GLASSE RET GOLF6 08 G,VIEW MAX,Volkswagen,Golf 6,2100.0
2530217203,Glace,GLASSE RET GOLF6 08 G DEG G,GIVING,Volkswagen,Golf 6,2100.0
VM-6187GHR,Glace,GLASSE RET GOLF7 13 D,VIEW MAX,Volkswagen,Golf 7,2800.0
VM-9187AGHL,Glace,GLASSE RET GOLF7 13 D,VIEW MAX,Volkswagen,Golf 7,2800.0
3G0,Glace,GLASSE RET GOLF7 13 G,,Volkswagen,Golf 7,2500.0
VM-2219,Glace,GLASSE RET HILUX/VIGO D,,Toyota,Hilux / Hilux Vigo,2800.0
VM-2219,Glace,GLASSE RET HILUX/VIGO G,,Toyota,Hilux / Hilux Vigo,2800.0
VM-364GR,Glace,GLASSE RET IBIZA 08/12 D,,SEAT,Ibiza,2200.0
VM-364GL,Glace,GLASSE RET IBIZA 08/12 G,VIEW MAX,SEAT,Ibiza,2200.0
530241201,Glace,GLASSE RET IBIZA 08/12 G,GIVING,SEAT,Ibiza,1800.0
VM-6132AGR,Glace,GLASSE RET KANGOO 13 DEG D,VIEW MAX,Renault,Kangoo,2400.0
VM-6132AGHL,Glace,GLASSE RET KANGOO 13 DEG G,VIEW MAX,Renault,Kangoo,2400.0
VM-131GR,Glace,GLASSE RET KANGOO 98/EXPRESS 95 D,VIEW MAX,Renault,Kangoo / Express,1500.0
VM-137GR,Glace,GLASSE RET LAGUN 01-07 G,,,nan,1650.0
VM-366GHR,Glace,GLASSE RET LEON 09-D,VIEW MAX,SEAT,Leon,2500.0
CAR-002420,Glace,GLASSE RET LOGANE 08 D,,Dacia,Logan,1600.0
GLA-002,Glace,GLASSE RET MASTER G,,Renault,Master,2500.0
530522001,Glace,GLASSE RET MASTER TRAFIC /G D,,Renault,Master / Trafic,2400.0
VM-6138GHR,Glace,GLASSE RET MEGANE 08 D,VIEW MAX,Renault,Megane,2300.0
VM-6138AGHL,Glace,GLASSE RET MEGANE 08 G,VIEW MAX,Renault,Megane,2300.0
VM-6142GHR,Glace,GLASSE RET MEGANE 16-19/CLIO5 19-24 D,VIEW MAX,Renault,Megane,3200.0
VM-6142AGHL,Glace,GLASSE RET MEGANE 16-19/CLIO5 19-24 G,VIEW MAX,Renault,Megane,3200.0
VM-8118,Glace,GLASSE RET PARTNER RITER BELINGO 13,,Peugeot,Partner,2500.0
CAR-00241GR,Glace,GLASSE RET PARTNER RITER BELINGO DOBLO 12-24 D,,Fiat / Peugeot,Doblò / Partner,2800.0
CAR-00241GL,Glace,GLASSE RET PARTNER RITER BELINGO DOPLO 12-24 G,,Peugeot,Partner,2800.0
VM-6194AHGL,Glace,GLASSE RET PASSAT 10-15 G,VIEW MAX,Volkswagen,Passat,2800.0
VM-753GL,Glace,GLASSE RET PICANTO 07-10 G,,Kia,Picanto,1800.0
VM-754GR,Glace,GLASSE RET PICANTO 11 D,VIEW MAX,Kia,Picanto,2100.0
VM-754GL,Glace,GLASSE RET PICANTO 11 G,VIEW MAX,Kia,Picanto,2100.0
VM-377GR,Glace,GLASSE RET POLO 05 D,VIEW MAX,Volkswagen,Polo,1900.0
6Q,Glace,GLASSE RET POLO 05 D+G,,Volkswagen,Polo,1900.0
VM-377AGL,Glace,GLASSE RET POLO 05 G,VIEW MAX,Volkswagen,Polo,2100.0
VM-388GHR,Glace,GLASSE RET POLO 09 -18 DEG D,VIEW MAX,Volkswagen,Polo,2300.0
6RO,Glace,GLASSE RET POLO 09-18 G+D,,Volkswagen,Polo,1800.0
VM-6390GHR,Glace,GLASSE RET POLO 17 DEG D,VIEW MAX,Volkswagen,Polo,2500.0
VM-6390AGHL,Glace,GLASSE RET POLO 17 DEG G,VIEW MAX,Volkswagen,Polo,2500.0
VM-025GHR,Glace,GLASSE RET Q5 08/Q7 D,VIEW MAX,,nan,3200.0
SPILU,Glace,GLASSE RET R19 D,,Renault,R19,1500.0
RA-D,Glace,GLASSE RET RAPIDE,,,nan,2500.0
VM-144GR,Glace,GLASSE RET SAXO 96-106-306 D,,Citroën / Peugeot,Saxo / 106 / 306,1700.0
VM-144GL,Glace,GLASSE RET SAXO 96-106-306 G,,Citroën / Peugeot,Saxo / 106 / 306,1700.0
GIASAXO,Glace,GLASSE RET SAXO G,,Citroën,Saxo,1200.0
CAR-002424,Glace,GLASSE RET TIGUAN 07/17 G,CARMAN,Volkswagen,Tiguan,2400.0
VM-6157GHR,Glace,GLASSE RET TIPO 23 D,VIEW MAX,Fiat,Tipo,3200.0
VM-6157GHL,Glace,GLASSE RET TIPO 23 G,VIEW MAX,Fiat,Tipo,3200.0
5305222001,Glace,GLASSE RET TRAFIC 96-01/MASTER 98 DEG GM G/D,GIVING,Renault,Master / Trafic,1200.0
VM-6127GR,Glace,GLASSE RET TWINGO SYMBOLE 09 D,VIEW MAX,Renault,Symbol,1800.0
VM-6146GR,Glace,GLASSE RET XSARA 03-05 D,,Citroën,Xsara,1550.0
VM-116GR,Glace,GLASSE RETROVISEUR 306 D,VIEW MAX,Peugeot,306,1450.0
69365000SR,Glace,GLASSR RET MEGANE 3 D,,Renault,Megane,1800.0
579-118,Grille,GRILLE LOGAN 09-12 CH,CHINE,Dacia,Logan,2700.0
P-287/207-09120,Grille,GRILLE PCHOC 207 10 NOIR PHIRA 9120,,Peugeot,207,5500.0
PU-30813B,Grille,GRILLE PCHOC 308 13 ALLURE,,Peugeot,308,7200.0
PU-RSB2,Grille,GRILLE PCHOC CAMPUS 06-08 CENRT,,,nan,3300.0
16,Grille,GRILLE PCHOC LOGAN 05 G+D,,Dacia,Logan,1800.0
PU-DA-SANP4,Grille,GRILLE PCHOC SANDERO /STEPWAY 17,,Dacia,Sandero / Sandero Stepway,6500.0
PU-RSB39,Grille,GRILLE PCHOC SYMBOL 09 A/T,,Renault,Symbol,2500.0
PU-RSB5,Grille,GRILLE PCHOC SYMBOL 17,,Renault,Symbol,4500.0
DAC07LO026,Grille,GRILLE LOGAN/SANDURO 13,DEGA,Dacia,Logan,4500.0
INF207,Grille,GRILLE PARCHOC 207 06 SPORT INF,,Peugeot,207,7800.0
SUP207SPORT,Grille,GRILLE PARCHOC 207 06 SPORT SUP,,Peugeot,207,7800.0
GRICH,Grille,GRILLE PARCHOC 207 INF CHROME,,Peugeot,207,6800.0
GRI207IN,Grille,GRILLE PARCHOC 207 INF GRIS,,Peugeot,207,6800.0
GR207N,Grille,GRILLE PARCHOC 207 INF NOIR,,Peugeot,207,4200.0
GRIL207NO,Grille,GRILLE PARCHOC 207 SUP NOIR,,Peugeot,207,4500.0
GR207CO,Grille,GRILLE PARCHOC 207 SUPP CHROME,,Peugeot,207,6300.0
GR207,Grille,GRILLE PARCHOC 207 SUPP GRIS,,Peugeot,207,6200.0
GL307NVG,Grille,GRILLE PARCHOC 307 N/V CH,,Peugeot,307,5800.0
PU-20819,Grille,GRILLE PARCHOC AV 208 19,,Peugeot,208,6500.0
PU-30117,Grille,GRILLE PARCHOC AV 301 17,,Peugeot,301,6500.0
